behavior,testbed.orosys.com.switch1,testbed.orosys.com.switch2,testbed.orosys.com.switch3,testbed.orosys.com.switch4,testbed.orosys.com.switch1,testbed.orosys.com.switch2,testbed.orosys.com.switch3,testbed.orosys.com.switch4
install,1,2,3,4,,,,
config,1_0_0_1_1,1_0_0_1_1,1_1_0_1_1,1_1_0_1_1,,,,
launch,1,2,3,4,slave,master,slave,master
uninstall,,,,1,,,,
watch,,,,-,slave,master,master,
uninstall,,2,1,-,,,,
watch_all,,-,-,-,master,,,
install,,1,-,-,,,,
config,,1_1_0_1_1,-,-,,,,
launch,,1,-,-,master,master,,
install,,,1,2,,,,
config,,,,1_1_0_1_1,,,,
launch,,,,1,master,slave,none,master
watch,,,,,master,slave,none,master
config,,,1_1_0_0_1,,,,,
launch,,,1,,master,none,slave,master
launch,,1,,,master,master,slave,none
watch_all,,,,,master,master,slave,none
config,,,1_0_0_0_0,,,,,
launch,,,1,,master,master,none,none
uninstall,1,2,,,,,,
watch_all,-,-,,,,,none,master
install,2,1,,,,,,
config,1_0_0_1_1,0_0_0_1_1,1_0_0_1_1,0_0_0_1_1,,,,
launch,3,4,2,1,master,none,slave,none
uninstall,1,2,3,4,,,,
